time, Susceptible, Exposed, Infected, Hospitalized, Recovered, Death
256,14674534.909053849,992674.3805919583,1166581.7167427256,1252100.1574999874,131506082.40287511,56547615.43323632
257,14529257.013454216,982846.904224098,1155032.5577469727,1239704.3659407357,131631292.41862512,56601455.74000882
258,14385417.369021019,973116.7198722793,1143597.7354252776,1227431.2927179208,131755262.85521919,56654763.02774428
259,14243001.73706771,963482.8643455438,1132276.1178445674,1215279.7229200122,131878005.98449098,56707542.57333115
260,14101996.01987074,953944.3839885229,1121066.5842779062,1203248.4536631028,131999533.95678298,56759799.60141671
261,13962386.259274019,944500.3345870365,1109968.025093555,1191336.293971837,132119858.8021493,56811539.284924224
262,13824158.635307206,935149.7812746249,1098979.3416451288,1179542.064661515,132238992.43154648,56862766.74556501
263,13687299.464817664,925891.7984400061,1088099.446162842,1167864.5982213654,132356946.63801263,56913487.05434546
264,13551795.20011597,916725.46963545,1077327.2616458298,1156302.7386989733,132473733.09783477,56963705.23206898
265,13417632.427634822,907649.887486059,1066661.721755536,1144855.341585853,132589363.37170467,57013426.24983303
266,13284797.866601238,898664.153599947,1056101.7707101563,1133521.2737041526,132703848.90586326,57062655.02952123
267,13153278.367721885,889767.3784793075,1045646.3631801257,1122299.413094481,132817201.03323367,57111396.444290504
268,13023060.91188144,880958.6814323624,1035294.4641846424,1111188.6489048454,132929430.97454312,57159655.31905357
269,12894132.608853813,872237.190486182,1025045.0489892145,1100187.8812806872,133040549.83943361,57207436.430956475
270,12766480.696026161,863602.0423003688,1014897.1030042212,1089296.0212560082,133150568.62756167,57254744.509851545
271,12640092.537135502,855052.3820815951,1004849.6216844794,1078511.9906455735,133259498.22968727,57301584.23876555
