time, Susceptible, Exposed, Infected, Hospitalized, Isolation_treated, Recovered
205,100467961.48866285,1958391.8763388407,1238798.5655703493,623122.4393603557,6276129.860277881,95575184.7697896
206,100167813.45371547,1952541.1806082772,1235097.6548557058,621260.8610727652,6257368.455732907,95905507.39401476
207,99868562.1110225,1946707.9638312089,1231407.8006118226,619404.844250309,6238663.70438861,96234842.57589544
208,99570204.78171583,1940892.1737892623,1227728.9698074935,617554.3722781101,6220015.405230153,96563193.29717906
209,99272738.79493044,1935093.758420066,1224061.1295101924,615709.4285909284,6201423.35951499,96890562.52903327
210,98976161.48778059,1929312.6658167853,1220404.2468857795,613869.9966730124,6182887.370678086,97216953.23216563
211,98680470.20533584,1923548.8442276572,1216758.2891982074,612036.0600579511,6164407.244242061,97542368.35693817
212,98385662.3005974,1917802.2420555265,1213123.2238092269,610207.6023285275,6145982.787731981,97866810.84347722
213,98091735.13447437,1912072.8078573851,1209499.018178096,608384.6071165705,6127613.8105945615,98190283.6217789
214,97798686.07576013,1906360.4903439109,1205885.6398612885,606567.0581028092,6109300.124121554,98512789.61181019
215,97506512.5011088,1900665.2383790081,1202283.0565122024,604754.9390167268,6091041.541377088,98834331.72360606
216,97215211.79501173,1894987.0009793506,1198691.2358808718,602948.2336364139,6072837.877128762,99154912.85736275
217,96924781.34977414,1889325.7273139246,1195110.1458136775,601146.9257884249,6054688.947782298,99474535.90352742
218,96635218.56549169,1883681.366703574,1191539.7542530587,599350.9993476318,6036594.5713195475,99793203.74288438
219,96346520.85002728,1878053.868620547,1187980.0292372275,597560.4382370806,6018554.567239703,100110919.24663804
220,96058685.61898783,1872443.182688043,1184430.9388998812,595775.2264278472,6000568.756503521,100427685.27649276
221,95771710.2957011,1866849.2586797625,1180892.4514699175,593995.3479388938,5982636.961480417,100743504.68472978
222,95485592.31119269,1861272.0465194567,1177364.535271151,592220.7868369264,5964759.005898263,101058380.31428139
223,95200329.104163,1855711.4962804797,1173847.1587220284,590451.5272362509,5946934.7147957655,101372314.99880235
224,94915918.12096432,1850167.5581853418,1170340.2903353462,588687.5532986326,5929163.914477272,101685311.56273897
225,94632356.81557794,1844640.182605263,1166843.8987179694,586928.8492331528,5911446.4324698895,101997372.82139567
226,94349642.6495914,1839129.3200597297,1163357.9525705494,585175.3992960688,5893782.097482787,102308501.58099934
227,94067773.09217575,1833634.9212160513,1159882.4206872447,583427.1877906718,5876170.73936857,102618700.6387616
228,93786745.62006287,1828156.9368889183,1156417.2719554417,581684.1990671471,5858612.189086613,102927972.78293888
229,93506557.71752293,1822695.3180399626,1152962.4753554747,579946.4175224339,5841106.27866826,103236320.79289082
230,93227206.87634183,1817250.0157773183,1149517.9999603503,578213.8276000856,5823652.84118378,103543747.43913652
231,92948690.59579876,1811820.9813551835,1146083.8149354686,576486.4137901304,5806251.710710992,103850255.48340935
232,92671006.38264382,1806408.166173385,1142659.889538349,574764.1606289323,5788902.7223054785,104155847.67870992
233,92394151.75107567,1801011.521776942,1139246.1931183531,573047.0526990534,5771605.711972288,104460526.76935758
234,92118124.22271933,1795630.9998556334,1135842.6951164121,571335.0746291149,5754360.516639062,104764295.49104033
235,91842921.32660395,1790266.5522435647,1132449.3650647518,569628.2110936604,5737166.974130511,105067156.57086344
236,91568540.59914072,1784918.130918737,1129066.1725866208,567926.4468130182,5720024.923144157,105369112.72739662
237,91294979.58410078,1779585.6880026173,1125693.0873960182,566229.7665531642,5702934.203227289,105670166.67072
238,91022235.83259328,1774269.1757597094,1122330.0792974227,564538.1551255867,5685894.654755066,105970321.1024688
239,90750306.9030434,1768968.5465971273,1118977.1181855216,562851.597387149,5668906.118909698,106269578.71587697
240,90479190.36117056,1763683.7530641684,1115634.1740449423,561170.0782399549,5651968.437660657,106567942.19581959
241,90208883.77996656,1758414.747851889,1112301.216949983,559493.582631213,5635081.4537458625,106865414.21885435
242,89939384.73967391,1753161.4837926815,1108978.217064345,557822.0955531022,5618245.010653792,107161997.45326203
243,89670690.82776414,1747923.9138598507,1105665.1446408653,556155.6020426373,5601458.952606459,107457694.55908592
244,89402799.6389162,1742701.9911671944,1102361.9700212507,554494.087181535,5584723.124543227,107752508.18817048
245,89135708.77499494,1737495.6689685825,1099068.6636358122,552837.5360960802,5568037.372105404,108046440.98419906
246,88869415.84502964,1732304.9006575388,1095785.1960032003,551185.9339569932,5551401.541621581,108339495.58273092
247,88603918.46519262,1727129.6397668244,1092511.5377301406,549539.2659792966,5534815.480093678,108631674.61123732
248,88339214.25877786,1721969.839968021,1089247.6595111717,547897.5174221834,5518279.03518366,108922980.68913698
249,88075300.85617976,1716825.4550711166,1085993.532128382,546260.6735888846,5501792.055200875,109213416.42783086
250,87812175.89487192,1711696.4390240917,1082749.1264511484,544628.7198265379,5485354.389090008,109502984.43073617
251,87549837.019386,1706582.7459125072,1079514.4134358757,543001.641526056,5468965.886419592,109791687.29331985
252,87288281.88129058,1701484.3299590936,1076289.364125736,541379.4241219969,5452626.397371063,110079527.60313141
253,87027508.13917023,1696401.145523341,1073073.9496504106,539762.0530924324,5436335.772728321,110366507.93983516
254,86767513.45860445,1691333.1471010898,1069868.14122583,538149.5139588189,5420093.863867784,110652630.87524192
255,86508295.51214688,1686280.2893241253,1066671.9101539177,536541.7922858669,5403900.522748889,110937898.97334023
256,86249851.97930434,1681242.5269597694,1063485.2278223329,534938.8736814129,5387755.6019050395,111222314.79032701
257,85992180.54651617,1676219.8149104773,1060308.0657042137,533340.7437962897,5371658.954434955,111505880.8746378
258,85735278.90713345,1671212.1082134321,1057140.3953579224,531747.3883241983,5355610.433994418,111788599.76697648
259,85479144.76139839,1666219.3620401446,1053982.1884267905,530158.7930015798,5339609.89478839,112070474.0003446
260,85223775.81642371,1661241.5316960497,1050833.4166388656,528574.9436074875,5323657.191563475,112351506.10007031
261,84969169.78617215,1656278.5726201078,1047694.051806657,526995.8259634601,5307752.17960072,112631698.58383681
262,84715324.39143597,1651330.4403844052,1044564.0658268846,525421.4259333943,5291894.714708729,112911053.96171053
263,84462237.35981655,1646397.090693757,1041443.4306802268,523851.7294234183,5276084.653217072,113189574.73616888
264,84209906.42570409,1641478.4793853094,1038332.1184310697,522286.72238176584,5260321.851969987,113467263.40212767
265,83958329.3302573,1636574.5624281457,1035230.1012272568,520726.39079865033,5244606.168320345,113744122.4469682
266,83707503.82138315,1631685.2959228917,1032137.3512998404,519170.72070613934,5228937.460123862,114020154.350564
267,83457427.65371677,1626810.636101322,1029053.8409628321,517619.69817802974,5213315.585733571,114295361.58530736
268,83208098.58860129,1621950.5393259693,1025979.5426129557,516073.3093297229,5197740.403994503,114569746.61613545
